









Frequency of observations in the selected location(s).:
Number of taxa: 	1011

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Snow/Ross's Goose	0.0018504	0.0017016	0.0019398	0.0015113	0.0016076	0.0011527	0.0010506	0.0010083	8.658E-4	5.677E-4	3.283E-4	6.67E-5	0.0	5.49E-5	7.77E-5	2.37E-5	0.0015	2.3E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.913E-4	0.0011132	0.0011504	0.002424	0.0018041	0.0025459	0.0023082	0.001623	0.0018866	0.0018264	
Graylag Goose (Domestic type)	0.0016425	0.0020473	0.0022099	0.0017301	0.0021065	0.0020056	0.0013341	0.0018574	0.0018181	0.0020274	0.0013385	0.0012499	0.0011971	9.145E-4	8.707E-4	8.894E-4	8.832E-4	0.0010794	0.0012296	0.0011577	0.0012183	0.0013692	0.0017734	0.0019843	0.0019332	0.0019124	0.001523	0.0017202	0.0021501	0.0021772	0.0023832	0.0019038	0.0016795	0.0020523	0.0018399	0.0018701	0.0025352	0.0021056	0.0022473	0.0020525	0.002193	0.0020039	0.0016505	0.003286	0.0028538	0.0021099	0.001673	0.0014743	
Swan Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Swan Goose (Domestic type)	0.0024326	0.0024727	0.0019644	0.0024658	0.0030211	0.0023284	0.0019511	0.0021758	0.0023665	0.002487	0.0021719	0.0014666	0.0015019	0.0010059	0.0011195	8.301E-4	9.583E-4	0.0010794	0.0015189	0.0012171	0.0022778	0.0018432	0.0016551	0.0021295	0.0021144	0.0019124	0.0017878	0.0017202	0.0020887	0.0018748	0.0019182	0.0018665	0.0019759	0.0016419	0.0019393	0.0015266	0.0018039	0.0015669	0.0014344	0.0017046	0.0020132	0.0016484	0.001996	0.0022499	0.0021403	0.0021505	0.0019578	0.0019144	
Graylag x Swan Goose (Domestic type) (hybrid)	8.32E-5	1.064E-4	9.82E-5	1.99E-5	1.663E-4	2.31E-5	5.0E-5	7.96E-5	5.77E-5	2.7E-5	1.263E-4	3.33E-5	4.35E-5	1.83E-5	7.77E-5	4.74E-5	1.88E-5	2.3E-5	3.62E-5	2.97E-5	2.119E-4	0.0015	0.0	4.84E-5	6.04E-5	6.37E-5	6.62E-5	9.05E-5	6.14E-5	6.05E-5	1.744E-4	3.73E-5	9.88E-5	0.0	1.492E-4	7.63E-5	9.75E-5	9.79E-5	9.56E-5	1.739E-4	7.19E-5	6.46E-5	1.535E-4	2.96E-5	2.098E-4	8.11E-5	7.12E-5	8.8E-5	
Greater White-fronted Goose	0.0250743	0.0209247	0.022345	0.0181757	0.0179329	0.0142238	0.0110398	0.0095789	0.005743	0.0039737	0.0018436	0.0017499	0.0010448	8.23E-4	9.173E-4	7.471E-4	5.073E-4	3.904E-4	3.617E-4	8.91E-5	1.589E-4	5.27E-5	4.138E-4	1.452E-4	4.833E-4	3.187E-4	5.959E-4	1.811E-4	1.843E-4	3.629E-4	2.325E-4	3.733E-4	3.458E-4	2.565E-4	2.486E-4	4.58E-4	0.0015601	0.0083733	0.0167352	0.0214986	0.0253092	0.0400129	0.0262936	0.0304914	0.0263975	0.0259677	0.0406151	0.0238755	
Snow x Greater White-fronted Goose (hybrid)	0.0	0.0	0.0	1.99E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Domestic goose sp. (Domestic type)	0.0016633	0.0014358	0.0012277	0.0014914	0.0012195	0.0014062	0.0013341	0.0016186	0.0010966	0.0018922	0.0013385	9.499E-4	0.001306	0.0010425	8.707E-4	7.708E-4	6.765E-4	7.12E-4	5.425E-4	6.234E-4	9.005E-4	7.899E-4	0.0010049	0.00121	9.666E-4	7.012E-4	5.297E-4	0.0010865	6.758E-4	9.676E-4	0.0011625	0.0011199	9.385E-4	7.183E-4	8.454E-4	0.0012976	0.0012676	0.0015669	0.0016257	0.0011132	0.0015099	0.0015514	0.001497	0.0016282	0.001343	0.0019882	0.0014238	0.0018704	
Anser sp.	0.0	0.0	0.0	0.0	2.77E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.78E-5	0.0	0.0	3.23E-5	0.0	0.0	0.0	0.0	0.0	0.0	
Brant	0.0015	7.98E-5	0.0	0.0	1.109E-4	0.0	1.501E-4	0.0	2.89E-5	0.0	2.53E-5	1.67E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.263E-4	1.843E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	1.293E-4	0.0	0.0	0.0	0.0	0.0	1.1E-4	
