









Frequency of observations in the selected location(s).:
Number of taxa: 	1011

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
American Flamingo	1.04E-4	2.66E-5	0.0015	3.98E-5	2.77E-5	4.61E-5	1.67E-5	2.65E-5	0.0015	1.081E-4	7.58E-5	1.67E-5	2.18E-5	1.83E-5	1.55E-5	1.19E-5	0.0	2.3E-5	1.085E-4	1.781E-4	1.059E-4	0.0	0.0	4.84E-5	1.208E-4	1.275E-4	6.62E-5	4.53E-5	0.0015	0.0015	1.163E-4	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	3.48E-5	3.6E-5	3.23E-5	0.0015	2.96E-5	4.2E-5	1.623E-4	0.0015	1.32E-4	
Greater Flamingo	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	2.65E-5	0.0	2.7E-5	5.05E-5	1.67E-5	2.18E-5	1.83E-5	0.0	0.0	0.0015	0.0015	3.62E-5	5.94E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.48E-5	0.0	0.0	0.0	0.0	0.0	0.0	3.56E-5	0.0	
American/Greater Flamingo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	
Least Grebe	0.0342433	0.0405201	0.0428238	0.040945	0.0393581	0.0365854	0.0282665	0.0400934	0.0326398	0.0297624	0.0260878	0.0219985	0.0175435	0.0157107	0.0152215	0.0121911	0.0100906	0.008842	0.0103794	0.0085787	0.0082106	0.0096372	0.0109357	0.0090988	0.0087597	0.0106458	0.0102635	0.0141693	0.0130851	0.0134261	0.0130202	0.0144468	0.0165481	0.0183684	0.0188463	0.019655	0.0184779	0.0226227	0.0238118	0.0246643	0.0518766	0.0625727	0.0331644	0.0324156	0.0307202	0.0333117	0.032784	0.0370786	
Pied-billed Grebe	0.1967898	0.1923373	0.1914549	0.1914809	0.185371	0.1685417	0.1376636	0.190437	0.1829962	0.1714919	0.1565775	0.1429905	0.1232397	0.1085485	0.0858094	0.0595679	0.0412267	0.023862	0.0253879	0.01974	0.0221422	0.019327	0.0218715	0.0228439	0.0229566	0.0251801	0.0308568	0.0335446	0.0331736	0.03798	0.0400488	0.04726	0.0503853	0.0612109	0.067827	0.0836196	0.1068695	0.1305945	0.1508559	0.1620051	0.1948519	0.2055591	0.2035544	0.2021314	0.1940154	0.2039682	0.218809	0.1988161	
Horned Grebe	0.0079839	0.0069395	0.0084223	0.0070794	0.0057651	0.0050717	0.0043525	0.0055987	0.0051081	0.0049469	0.0033083	0.0020499	0.0013495	8.23E-4	3.421E-4	4.151E-4	2.255E-4	6.89E-5	2.17E-4	5.94E-5	1.059E-4	0.0	1.182E-4	0.0	0.0	0.0	0.0	4.53E-5	0.0	0.0	0.0	0.0	0.0	5.13E-5	0.0015	1.145E-4	9.75E-5	8.814E-4	0.0014344	0.0017394	0.0025525	0.0050097	0.0098649	0.0089402	0.0119188	0.0107523	0.0103229	0.0097483	
Red-necked Grebe	1.04E-4	5.32E-5	0.0015	1.99E-5	1.94E-4	1.383E-4	1.67E-5	2.65E-5	8.66E-5	2.7E-5	1.263E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.84E-5	0.0	1.259E-4	8.11E-5	2.848E-4	4.401E-4	
Eared Grebe	0.02391	0.0221212	0.0244567	0.01917	0.0192078	0.0167135	0.0136079	0.018176	0.0138813	0.0175439	0.0151274	0.0137991	0.0126243	0.012254	0.00922	0.0082064	0.0065579	0.0044784	0.0051354	0.0026419	0.0017481	9.479E-4	9.458E-4	7.26E-4	6.041E-4	5.737E-4	0.0011257	0.0015844	0.0019044	0.0018143	0.0019182	0.0014932	0.0028156	0.0027707	0.0031825	0.0036257	0.0042904	0.0081285	0.013436	0.0138802	0.0163215	0.0204913	0.0225319	0.0214624	0.019305	0.0241418	0.0272666	0.0262741	
Horned/Eared Grebe	1.663E-4	1.595E-4	7.37E-5	1.193E-4	5.54E-5	1.383E-4	5.0E-5	1.327E-4	1.732E-4	1.081E-4	1.01E-4	3.33E-5	6.53E-5	7.32E-5	3.11E-5	2.37E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.73E-5	0.0	0.0	0.0	0.0	4.88E-5	0.0	1.434E-4	2.087E-4	2.517E-4	2.586E-4	1.919E-4	2.664E-4	8.39E-5	1.217E-4	7.12E-5	1.76E-4	
Western Grebe	0.0018088	0.001675	0.0022099	9.744E-4	0.001275	0.0010604	0.0010339	0.001194	6.638E-4	0.0013786	0.0013637	7.833E-4	4.136E-4	6.767E-4	7.463E-4	0.001008	0.0013717	9.876E-4	0.0018444	0.0013655	4.238E-4	0.0012112	0.0014187	8.228E-4	7.249E-4	8.287E-4	9.932E-4	0.0011317	0.0016587	0.0028425	0.0029063	0.0020905	0.0016795	0.0015906	8.454E-4	0.0011831	0.0012676	0.001518	0.0018648	0.0025047	0.0017975	0.0024564	0.0037233	0.0042925	0.0036092	0.00353	0.0025985	0.0025966	
Clark's Grebe	7.901E-4	9.04E-4	0.0012277	4.971E-4	7.206E-4	3.689E-4	6.004E-4	6.368E-4	5.195E-4	9.732E-4	0.0010607	4.166E-4	2.612E-4	3.292E-4	5.908E-4	0.0011503	0.0015033	0.0010565	0.0017359	0.0013061	5.297E-4	0.0013166	0.0014187	9.68E-4	9.062E-4	0.00102	0.0011257	0.0012675	0.0019658	0.0035077	0.0033713	0.0025385	0.0020253	0.0014879	8.454E-4	0.0010305	0.0013164	0.0011262	0.0012432	0.0014959	0.0010066	6.464E-4	0.0016122	0.0018946	0.0012171	0.0015824	0.002029	0.0015624	
Western x Clark's Grebe (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.88E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Western/Clark's Grebe	2.495E-4	1.861E-4	3.683E-4	1.989E-4	5.54E-5	9.22E-5	1.501E-4	1.592E-4	2.02E-4	1.892E-4	5.05E-5	1.333E-4	4.35E-5	7.32E-5	1.244E-4	2.49E-4	2.067E-4	2.986E-4	7.956E-4	3.859E-4	5.3E-5	3.686E-4	2.956E-4	2.904E-4	5.437E-4	5.1E-4	6.622E-4	5.432E-4	8.601E-4	0.0015119	0.0013369	0.0013066	7.904E-4	7.183E-4	9.95E-5	4.58E-4	4.388E-4	5.876E-4	4.303E-4	8.001E-4	2.157E-4	3.232E-4	4.222E-4	9.769E-4	4.616E-4	6.492E-4	8.543E-4	6.602E-4	
grebe sp.	2.495E-4	3.191E-4	1.964E-4	3.381E-4	1.663E-4	2.305E-4	1.501E-4	2.653E-4	1.732E-4	2.703E-4	5.05E-5	1.0E-4	1.524E-4	1.28E-4	1.555E-4	5.93E-5	1.88E-5	4.59E-5	0.0	0.0	5.3E-5	0.0	0.0	0.0	0.0	0.0	0.0	4.53E-5	0.0	6.05E-5	0.0	3.73E-5	1.482E-4	5.13E-5	9.95E-5	1.908E-4	4.88E-5	1.469E-4	9.56E-5	2.783E-4	1.438E-4	2.586E-4	1.919E-4	2.368E-4	2.938E-4	2.84E-4	2.848E-4	1.98E-4	
Rock Pigeon	0.1256419	0.1166946	0.1186004	0.1160737	0.1140276	0.1057679	0.0929209	0.1084193	0.1105019	0.1096694	0.1083163	0.1071262	0.1096576	0.1084022	0.1060684	0.1001138	0.1016385	0.0918653	0.0956204	0.0888744	0.0966734	0.0978988	0.1082343	0.1091859	0.1107352	0.1200357	0.1265395	0.1231326	0.1234795	0.1206532	0.1218903	0.1163954	0.1201344	0.1289379	0.1224764	0.1188077	0.1223246	0.1286358	0.1235058	0.1241564	0.1304645	0.1409502	0.1235222	0.1196862	0.1141934	0.1194514	0.1388602	0.1191796	
Columba sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.56E-5	0.0	
White-crowned Pigeon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.976E-4	0.0	0.0	0.0	0.0034616	0.0025952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Red-billed Pigeon	2.287E-4	1.861E-4	3.192E-4	2.784E-4	8.869E-4	0.0017751	0.0013841	0.0020697	0.0018181	0.0024329	0.0018941	0.0020999	0.0018284	0.0015546	0.0012283	0.0012452	6.577E-4	3.215E-4	3.617E-4	5.343E-4	5.297E-4	5.793E-4	4.729E-4	6.292E-4	5.437E-4	2.55E-4	2.649E-4	7.696E-4	2.457E-4	2.419E-4	5.81E-5	1.12E-4	2.47E-4	3.079E-4	2.984E-4	2.29E-4	9.75E-5	3.917E-4	9.56E-5	1.739E-4	8.269E-4	7.757E-4	1.535E-4	1.184E-4	1.259E-4	4.06E-5	0.0015	1.76E-4	
Band-tailed Pigeon	6.24E-5	7.98E-5	3.192E-4	3.98E-5	2.77E-5	0.0015	0.0	0.0	5.77E-5	1.081E-4	2.53E-5	6.67E-5	1.088E-4	1.829E-4	2.799E-4	6.641E-4	7.328E-4	7.579E-4	9.041E-4	0.0013655	0.0012713	0.0013692	0.0010049	0.0016455	0.0012687	0.0018487	9.932E-4	0.0011317	9.215E-4	0.0035077	0.002325	0.0010826	5.434E-4	4.618E-4	1.492E-4	4.198E-4	2.925E-4	9.79E-5	1.434E-4	1.044E-4	0.0	3.23E-5	3.84E-5	8.88E-5	0.0	0.0	1.068E-4	2.2E-5	
Eurasian Collared-Dove	0.0778011	0.0718939	0.0740823	0.0751089	0.0859503	0.0835216	0.0827149	0.0921538	0.0973421	0.1021545	0.1069778	0.1106926	0.1188429	0.1186627	0.1198284	0.1205351	0.119095	0.1070001	0.113269	0.1231596	0.1108168	0.1159092	0.1117219	0.1130578	0.1164139	0.1128323	0.116276	0.1204617	0.1223738	0.1290596	0.1258428	0.1275571	0.1221103	0.1139559	0.112183	0.1024731	0.101214	0.0872588	0.0788467	0.0804634	0.0860656	0.0842275	0.0740442	0.0732682	0.0729814	0.076767	0.0871391	0.0784482	
African Collared-Dove	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.18E-5	0.0	0.0	1.19E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.94E-5	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
African Collared-Dove (Domestic type or Ringed Turtle-Dove)	0.0	0.0	0.0	3.98E-5	0.0	0.0	1.67E-5	0.0015	2.89E-5	0.0	2.53E-5	1.333E-4	2.18E-5	3.66E-5	4.66E-5	4.74E-5	3.76E-5	2.3E-5	0.0	0.0015	5.3E-5	5.27E-5	0.0	0.0	0.0	0.0	0.0	4.53E-5	6.14E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.56E-5	2.2E-5	
Eurasian/African Collared-Dove	0.0015	0.0	2.46E-5	0.0	0.0	4.61E-5	0.0	5.31E-5	2.89E-5	0.0	2.53E-5	1.67E-5	0.0	7.32E-5	6.22E-5	9.49E-5	5.64E-5	2.3E-5	0.0	5.94E-5	0.0	5.27E-5	0.0	0.0	0.0	0.0	0.0	0.0	6.14E-5	0.0	5.81E-5	7.47E-5	0.0	0.0	0.0	1.145E-4	1.463E-4	0.0	4.78E-5	3.48E-5	0.0	0.0	7.68E-5	0.0	4.2E-5	4.06E-5	1.068E-4	4.4E-5	
Inca Dove	0.0666362	0.0612055	0.0655617	0.063237	0.0692924	0.0719489	0.0691737	0.0758882	0.076246	0.0752845	0.0774301	0.0757116	0.0738959	0.0759931	0.0828397	0.0793606	0.0796159	0.069588	0.0770316	0.0696687	0.0721475	0.0694086	0.0699888	0.0752589	0.08065	0.0788551	0.0804529	0.0796741	0.0823811	0.0855156	0.0821321	0.0894804	0.0954357	0.0987686	0.0954252	0.0936188	0.0745454	0.0765841	0.0687578	0.0666528	0.0895168	0.1022301	0.067442	0.0659858	0.0690364	0.0687333	0.0655323	0.0682818	
Common Ground Dove	0.0282346	0.0260828	0.0277962	0.0267664	0.027717	0.0255429	0.0239306	0.0279672	0.0279646	0.0267618	0.0292446	0.0298647	0.0263805	0.0268674	0.0286394	0.0331934	0.034011	0.032727	0.0403964	0.0357694	0.0397818	0.0361262	0.0399007	0.039396	0.039147	0.0369733	0.0405907	0.0387053	0.0372896	0.040883	0.0377819	0.0392713	0.038036	0.0391996	0.0361014	0.0340814	0.0317878	0.0299187	0.0285933	0.0294302	0.0387906	0.0429218	0.0263703	0.0261101	0.0262716	0.028037	0.0307906	0.0316213	
Ruddy Ground Dove	2.08E-5	5.32E-5	4.91E-5	3.98E-5	5.54E-5	0.0	6.67E-5	2.65E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.13E-5	0.0	0.0	0.0010238	8.814E-4	2.869E-4	0.0	0.0	2.909E-4	3.84E-5	0.0	0.0	0.0	0.0	0.0	
ground dove/Inca Dove sp.	2.08E-5	2.66E-5	0.0	0.0	0.0	0.0	0.0	5.31E-5	0.0	0.0	2.53E-5	1.67E-5	0.0	1.83E-5	1.55E-5	1.19E-5	0.0	0.0	0.0	2.97E-5	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.94E-5	5.13E-5	0.0	0.0	4.88E-5	0.0	0.0	0.0	0.0	0.0	3.84E-5	0.0	8.39E-5	0.0	3.56E-5	0.0	
White-tipped Dove	0.0337027	0.0383133	0.0428975	0.0419393	0.0450678	0.0419337	0.0355541	0.051344	0.0473291	0.0495229	0.0462914	0.0401473	0.0351087	0.0322079	0.0297589	0.0275841	0.0214777	0.0173625	0.0200716	0.0187604	0.0220362	0.0179578	0.0218715	0.019456	0.017157	0.0149168	0.0180771	0.0179267	0.0161568	0.0179014	0.0171472	0.0193743	0.0190674	0.019805	0.0216808	0.022212	0.0174053	0.0210557	0.0190781	0.0212551	0.0526316	0.0627666	0.031629	0.0301658	0.0300067	0.0322973	0.0253088	0.0370126	
White-winged Dove	0.2307836	0.2126771	0.2034868	0.2086026	0.2197123	0.2481442	0.2805136	0.2435057	0.2648408	0.2804044	0.2938606	0.314829	0.3298217	0.321878	0.3376246	0.3545135	0.3842685	0.3853521	0.3866406	0.357427	0.3858989	0.3734794	0.3856476	0.3919272	0.3891742	0.400714	0.4115349	0.3925306	0.3817422	0.3936498	0.3877005	0.3949156	0.3971053	0.3930734	0.3554948	0.329097	0.3172444	0.3048183	0.2904275	0.27169	0.2433851	0.2239819	0.2297328	0.2252516	0.2286386	0.2311126	0.243299	0.2244081	
Mourning Dove	0.2842589	0.2707984	0.2780356	0.2752401	0.2986779	0.3090276	0.3283916	0.3347573	0.3605957	0.3790717	0.3956613	0.4140057	0.4220665	0.4130331	0.4117263	0.4191452	0.4340637	0.4553994	0.4757152	0.4668131	0.4871808	0.4781189	0.4649169	0.4771561	0.4861354	0.48639	0.4883459	0.484699	0.4952083	0.4902328	0.4787259	0.460766	0.4615195	0.437763	0.4156638	0.3816121	0.363561	0.3585349	0.34245	0.3327419	0.3224044	0.3101164	0.2946031	0.2862937	0.2819792	0.2959507	0.3280888	0.2872106	
pigeon/dove sp.	4.366E-4	4.786E-4	3.929E-4	3.579E-4	4.435E-4	5.302E-4	5.336E-4	3.715E-4	6.06E-4	5.677E-4	5.556E-4	7.5E-4	7.4E-4	7.316E-4	6.841E-4	6.641E-4	9.207E-4	9.416E-4	0.0016636	0.0012171	0.0011124	0.0012639	0.0012414	0.0010164	0.0011478	0.0015299	0.0017878	0.0014939	0.0017201	0.001391	0.0012788	0.0015305	0.0014325	0.0015906	0.0019393	0.0012213	0.0014626	0.0010283	0.0011476	0.0014263	0.0012223	9.05E-4	6.909E-4	7.401E-4	9.653E-4	7.303E-4	6.051E-4	6.602E-4	
Groove-billed Ani	0.002786	0.0029779	0.0030448	0.0025056	0.0013858	0.0014754	0.0018011	0.0022289	0.0014141	0.0021626	0.0017426	0.0012166	0.001393	0.0018107	0.003716	0.0080641	0.0088316	0.0089339	0.0114643	0.0112503	0.014991	0.0124282	0.0162558	0.015923	0.0137135	0.0126857	0.0156933	0.016976	0.016894	0.0174781	0.0154615	0.0174705	0.0205493	0.0200616	0.0202884	0.0173651	0.01409	0.0080795	0.0055943	0.0040353	0.0037389	0.0056884	0.0016889	0.0022499	0.00256	0.0019882	0.0032036	0.0024426	
Greater Roadrunner	0.0258436	0.0252852	0.0283118	0.0283572	0.0313756	0.0332196	0.030201	0.0345743	0.0361606	0.0388722	0.0396747	0.0374142	0.0343904	0.0305436	0.0342678	0.0401784	0.0453418	0.0451059	0.0551517	0.058834	0.0583748	0.052978	0.0513684	0.0511567	0.051471	0.0453242	0.0497947	0.0492531	0.0471802	0.0526761	0.0487677	0.0548753	0.0501877	0.0416111	0.0358031	0.0307992	0.0276925	0.0291842	0.0272545	0.0296041	0.031277	0.0290239	0.0240289	0.0268502	0.0241732	0.0253185	0.027053	0.0266042	
Yellow-billed Cuckoo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.41E-5	0.0	4.5E-4	0.0062469	0.0244897	0.0494115	0.0796452	0.1236424	0.1579624	0.1889263	0.1736523	0.1828584	0.1625678	0.1540462	0.1455813	0.1344771	0.1241793	0.1235598	0.1070167	0.0910431	0.0754158	0.0657987	0.050209	0.0450504	0.03294	0.0250622	0.0159911	0.0091658	0.0061698	0.0074591	0.0057051	0.0027682	0.0026503	9.212E-4	2.96E-4	0.0	8.11E-5	0.0	0.0	
Mangrove Cuckoo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.88E-5	0.0	3.62E-5	0.0	0.0	0.0	1.182E-4	4.84E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Black-billed Cuckoo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.959E-4	0.0029446	0.0061259	0.0086571	0.0050171	0.0030545	0.0021699	4.749E-4	1.589E-4	1.053E-4	0.0	0.0	0.0	0.0015	0.0	0.0	0.0015	0.0015	1.163E-4	2.613E-4	6.916E-4	6.157E-4	3.978E-4	3.435E-4	3.9E-4	2.938E-4	7.65E-4	3.479E-4	1.438E-4	2.262E-4	7.68E-5	0.0	0.0	0.0	0.0	0.0	
Yellow-billed/Black-billed Cuckoo	0.0	0.0	0.0	0.0	2.77E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	2.18E-5	0.0	1.088E-4	1.66E-4	2.443E-4	1.378E-4	1.447E-4	2.97E-5	5.3E-5	0.0	5.91E-5	4.84E-5	6.04E-5	0.0	0.0	0.0	0.0	0.0	5.81E-5	0.0	1.976E-4	0.0	4.97E-5	0.0	4.88E-5	4.9E-5	9.56E-5	1.391E-4	3.6E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Coccyzus sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.55E-5	0.0	0.0	0.0	0.0	0.0	0.0	5.27E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.97E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
cuckoo sp. (Cuculidae sp.)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	2.37E-5	3.76E-5	0.0	3.62E-5	2.97E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.13E-5	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Lesser Nighthawk	4.16E-5	1.064E-4	1.719E-4	2.386E-4	1.386E-4	9.22E-5	2.835E-4	4.245E-4	2.02E-4	2.703E-4	5.809E-4	0.0016999	0.0054415	0.0096386	0.0098574	0.0132347	0.0114247	0.0107023	0.0122238	0.0143078	0.0138256	0.0116383	0.0122362	0.0115671	0.009968	0.010582	0.0111244	0.0090086	0.0098906	0.0105836	0.0095327	0.0086979	0.0061253	0.0045664	0.0038289	0.0035493	0.0030228	0.0036725	0.0013388	0.001148	0.001474	0.0014867	6.909E-4	3.552E-4	8.39E-5	0.0015	1.78E-4	2.641E-4	
Common Nighthawk	2.08E-5	2.66E-5	0.0	1.99E-5	5.54E-5	2.31E-5	3.34E-5	0.0	1.154E-4	5.41E-5	5.05E-5	4.166E-4	0.0020678	0.010992	0.034019	0.0764077	0.08033	0.092118	0.1090376	0.1011636	0.099322	0.0928959	0.0825797	0.0830994	0.0790189	0.0746478	0.0772745	0.0803078	0.0853913	0.0763834	0.0732388	0.066485	0.0532009	0.039764	0.0264545	0.0180902	0.0145775	0.0091568	0.0043512	0.0018437	0.0011145	7.434E-4	4.222E-4	5.033E-4	2.518E-4	2.434E-4	1.78E-4	0.0015	
nighthawk sp.	2.08E-5	0.0015	2.46E-5	5.97E-5	1.109E-4	0.0	1.67E-5	0.0	5.77E-5	2.7E-5	1.01E-4	1.833E-4	6.095E-4	9.328E-4	0.0013216	0.0015772	0.0012026	9.876E-4	9.403E-4	8.608E-4	0.0010594	7.899E-4	5.32E-4	9.68E-4	0.0011478	0.00102	0.0012581	0.0012675	0.0014129	0.0015724	0.0011625	0.0011572	0.0013831	0.0015393	9.945E-4	5.343E-4	5.363E-4	6.855E-4	3.347E-4	1.391E-4	3.6E-5	9.7E-5	7.68E-5	0.0015	8.39E-5	8.11E-5	1.424E-4	4.4E-5	
Common Pauraque	0.0130154	0.0145436	0.0172376	0.0173405	0.0174617	0.0148232	0.0141416	0.0183618	0.0139101	0.0158408	0.0142688	0.0125492	0.0120802	0.0094008	0.0084892	0.0078625	0.0057687	0.0046392	0.0057141	0.0049573	0.0069393	0.0063721	0.0059703	0.0067757	0.0070078	0.0056097	0.0070852	0.0064735	0.0060204	0.0064711	0.0068589	0.0068687	0.0068168	0.0080041	0.0075087	0.0086635	0.0091658	0.0110175	0.008511	0.0090795	0.0226488	0.0274079	0.0122064	0.0116933	0.0114991	0.0126998	0.0112839	0.0137752	
Common Poorwill	6.24E-5	0.0015	2.46E-5	1.99E-5	2.772E-4	1.614E-4	6.671E-4	8.226E-4	0.0014718	0.0023248	0.0026517	0.0032498	0.003439	0.0030909	0.0035294	0.0047199	0.0047164	0.0049837	0.0064374	0.0075695	0.0064625	0.0055295	0.0041378	0.004985	0.0037455	0.0047173	0.003973	0.0026256	0.0020273	0.0044149	0.0047663	0.0048529	0.0045446	0.0035916	0.0029836	0.0029769	0.0025352	0.0022035	0.002056	0.0012871	5.393E-4	2.586E-4	5.374E-4	3.552E-4	1.679E-4	1.623E-4	1.424E-4	1.32E-4	
Chuck-will's-widow	4.16E-5	7.98E-5	4.91E-5	3.98E-5	1.109E-4	2.31E-5	0.0	5.31E-5	5.77E-5	1.081E-4	3.788E-4	0.0031831	0.0102736	0.0198076	0.0262139	0.0272402	0.0227179	0.0214276	0.0209757	0.0193838	0.0177455	0.014956	0.0148963	0.013987	0.0125657	0.0083509	0.0059595	0.0027614	0.0023959	0.0036287	0.0038363	0.0070554	0.0086939	0.0097486	0.0084535	0.0068697	0.0053142	0.0031828	0.0017691	9.045E-4	2.517E-4	6.46E-5	3.071E-4	0.0015	4.2E-5	1.623E-4	1.424E-4	0.0015	
Eastern Whip-poor-will	0.0	2.66E-5	0.0	0.0015	0.0	0.0	0.0	5.31E-5	2.309E-4	2.433E-4	6.314E-4	0.0023165	0.0021984	0.0023228	0.0020212	0.0013638	7.328E-4	3.215E-4	3.617E-4	2.078E-4	5.3E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.229E-4	6.05E-5	1.163E-4	4.106E-4	4.94E-4	0.0011288	5.967E-4	0.0014121	0.0010726	0.0011752	0.001291	5.566E-4	1.079E-4	3.878E-4	3.84E-5	0.0	0.0	0.0	1.068E-4	0.0	
Mexican Whip-poor-will	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7E-5	0.0	1.67E-5	2.177E-4	1.28E-4	2.643E-4	8.064E-4	8.644E-4	6.66E-4	0.0013381	0.0018107	0.0011124	0.0010532	3.547E-4	9.68E-4	1.812E-4	0.0011474	3.973E-4	5.885E-4	3.686E-4	0.0015119	7.556E-4	3.36E-4	1.976E-4	5.13E-5	0.0	0.0	0.0	4.9E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Eastern/Mexican Whip-poor-will	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.88E-5	0.0015	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Antrostomus sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.67E-5	4.35E-5	0.0	0.0	2.37E-5	0.0	2.3E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.976E-4	5.13E-5	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Caprimulgus sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.94E-5	0.0	4.97E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
