









Frequency of observations in the selected location(s).:
Number of taxa: 	621

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	5528.0	4367.0	4842.0	6755.0	4478.0	5150.0	7361.0	3728.0	3721.0	4015.0	4498.0	7070.0	5432.0	6269.0	7487.0	9789.0	5108.0	3608.0	2462.0	3008.0	2425.0	2393.0	1948.0	2576.0	2093.0	2134.0	1686.0	2340.0	1760.0	1742.0	1807.0	2909.0	2393.0	2417.0	2310.0	3208.0	2678.0	2719.0	2869.0	4918.0	3911.0	2951.0	2780.0	3675.0	2597.0	2739.0	3319.0	5453.0	

Black-bellied Whistling-Duck	0.020803183791606367	0.02358598580261049	0.026228831061544815	0.019096965210954848	0.02009825815096025	0.02116504854368932	0.01521532400489064	0.03594420600858369	0.03305563020693362	0.05579078455790785	0.07314361938639395	0.07680339462517681	0.09296759941089838	0.09730419524645079	0.09309469747562442	0.11012360813157626	0.11707126076742365	0.10837028824833703	0.10479285134037368	0.12699468085106383	0.13484536082474227	0.1257835353113247	0.12885010266940453	0.12267080745341614	0.11801242236024845	0.13683223992502344	0.11921708185053381	0.11623931623931624	0.13522727272727272	0.11021814006888633	0.12119535141117875	0.08594018563080097	0.08524864187212704	0.07860984691766652	0.06277056277056277	0.05798004987531172	0.043689320388349516	0.043766090474439134	0.04182642035552457	0.04331028873525823	0.04270007670672462	0.032192477126397834	0.02697841726618705	0.020136054421768707	0.015402387370042356	0.019715224534501644	0.022295872250677914	0.027324408582431688	
Fulvous Whistling-Duck	0.0016280752532561505	0.002976871994504236	0.0026848409748038	0.0029607698001480384	0.0026797677534613666	0.002330097087378641	0.0031245754652900423	0.00509656652360515	0.005374899220639613	0.005479452054794521	0.007781236104935527	0.01074964639321075	0.009941089837997054	0.010368479821343117	0.015760651796447176	0.02768413525385637	0.03230227094753328	0.014412416851441241	0.017465475223395612	0.017287234042553192	0.02020618556701031	0.025491015461763477	0.026180698151950718	0.022903726708074536	0.03201146679407549	0.030459231490159326	0.029062870699881376	0.027777777777777776	0.01534090909090909	0.010907003444316877	0.02158273381294964	0.013750429700928154	0.011282908483075638	0.011998345055854365	0.008658008658008658	0.006546134663341646	0.0026138909634055266	0.0018389113644722325	0.003136981526664343	0.010776738511590077	0.01713116849910509	0.004405286343612335	0.0035971223021582736	0.0010884353741496598	0.0011551790527531767	3.650967506389193E-4	0.0027116601385959627	0.0018338529249954153	
whistling-duck sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.329004329004329E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.08610709117221418	0.07236088848179528	0.07290375877736473	0.0692820133234641	0.06185797230906655	0.048155339805825245	0.041977992120635785	0.032188841201716736	0.02472453641494222	0.0112079701120797	0.010893730546909737	0.006506364922206506	0.004970544918998527	0.0035093316318392086	0.0025377320689194604	0.001225865767698437	5.873140172278779E-4	5.543237250554324E-4	0.0	0.0	0.0	0.0	0.0	7.763975155279503E-4	4.7778308647873863E-4	0.0	5.931198102016608E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.35564545788893E-4	0.0020913210177762286	0.03639690931272875	0.06392227051904883	0.06235174517112843	0.07733812949640288	0.07809523809523809	0.0843280708509819	0.09967141292442497	0.15366074118710454	0.08894186686227765	
Ross's Goose	0.028219971056439943	0.02198305472864667	0.02251135894258571	0.02072538860103627	0.016301920500223315	0.011067961165048544	0.008694470859937508	0.007778969957081545	0.0064498790647675355	0.0012453300124533001	0.0013339261894175188	0.0014144271570014145	0.0011045655375552283	4.785452225235285E-4	2.6712969146520634E-4	1.0215548064153642E-4	0.0	0.0	0.0	0.0	0.0	0.0	5.13347022587269E-4	3.8819875776397513E-4	4.7778308647873863E-4	0.0	0.0	0.0	5.681818181818182E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	3.485535029627048E-4	0.009353395689304595	0.01866530299156226	0.012876990850559133	0.021223021582733814	0.020136054421768707	0.0215633423180593	0.0397955458196422	0.06749020789394396	0.02530717036493673	
Snow x Ross's Goose (hybrid)	1.808972503617945E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow/Ross's Goose	3.61794500723589E-4	0.0015	0.0014456836018174309	1.4803849000740192E-4	0.0	3.883495145631068E-4	4.075533215595707E-4	2.682403433476395E-4	0.0	2.4906600249066E-4	2.2232103156958648E-4	1.4144271570014144E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.485535029627048E-4	0.0010166734444896298	7.67067246228586E-4	0.0	0.0	8.163265306122449E-4	0.0	3.650967506389193E-4	0.0	3.6677058499908307E-4	
Graylag Goose (Domestic type)	0.004884225759768451	0.0027478818410808336	0.00392399834779017	0.0023686158401184307	0.0031263957123715946	0.002524271844660194	0.0014943621790517593	0.001072961373390558	0.002418704649287826	0.0027397260273972603	0.0022232103156958646	0.0018387553041018388	9.204712812960235E-4	0.0017546658159196043	0.0010685187658608254	0.001225865767698437	0.001957713390759593	5.543237250554324E-4	4.0617384240454913E-4	0.0013297872340425532	0.0	0.0012536564981195152	0.002053388090349076	0.002717391304347826	0.0	0.0037488284910965324	5.931198102016608E-4	0.001282051282051282	0.002840909090909091	0.004592422502870264	5.534034311012728E-4	0.0010312822275696115	0.001671541997492687	0.0024824162184526274	0.0012987012987012987	0.0018703241895261845	0.0014936519790888724	0.0018389113644722325	0.0024398745207389336	0.0018300122000813339	0.0025568908207619537	0.006099627245001694	0.007553956834532374	0.006802721088435374	0.004235656526761648	0.0065717415115005475	0.0015064778547755348	0.0038510911424903724	
