









Frequency of observations in the selected location(s).:
Number of taxa: 	1055

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Domestic goose sp. (Domestic type)	0.0045517	0.0042641	0.0043738	0.0040465	0.0039804	0.0035011	0.0033986	0.0038588	0.0043828	0.0034443	0.0037894	0.0032429	0.0025413	0.0029403	0.0027087	0.0029929	0.002432	0.0024398	0.0021043	0.0023275	0.0020167	0.001504	0.0022033	0.0024031	0.0022575	0.0018368	0.0020907	0.0020057	0.0030927	0.0026834	0.002922	0.0030955	0.0029819	0.0030366	0.0032939	0.0034862	0.0035766	0.0028689	0.0032986	0.0036448	0.0041254	0.002962	0.0042414	0.0042155	0.0048475	0.0044089	0.0038573	0.0043483	
Brant	0.0210079	0.0223738	0.0263799	0.0188543	0.0166013	0.0177045	0.0153978	0.0230251	0.0223968	0.0163408	0.0177092	0.0149905	0.0144603	0.0134008	0.0170795	0.0137112	0.0104136	0.0089293	0.0089993	0.0079167	0.0060502	0.0052123	0.0050783	0.0060078	0.0064297	0.0068224	0.0068176	0.0072567	0.0067008	0.0057247	0.0067476	0.0067817	0.0058195	0.0051743	0.0042775	0.0043745	0.0027479	0.0032361	0.0038484	0.0071781	0.0103254	0.0163629	0.0185402	0.0224197	0.0190612	0.021917	0.0182609	0.02044	
Cackling Goose	0.0258708	0.0262063	0.024476	0.023786	0.0247369	0.0224501	0.0162689	0.0209683	0.0194428	0.0184935	0.0154432	0.0127374	0.010541	0.0106921	0.0102185	0.0043359	0.001975	0.0018091	0.0019028	0.0011875	0.0011822	9.335E-4	8.061E-4	8.842E-4	9.716E-4	9.33E-4	0.0012726	0.001262	0.0015463	0.0014908	0.0011447	0.0017311	0.0017074	0.0016762	0.0016241	0.0036706	0.0086363	0.0185444	0.0247873	0.0294933	0.0332923	0.0329169	0.0340834	0.029414	0.027195	0.0287214	0.0233445	0.0225855	
Greater White-fronted x Cackling Goose (hybrid)	1.3E-5	0.0	0.0	0.0	1.94E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.82E-5	0.0	0.0	0.0	0.0	0.0	4.46E-5	0.0	
Canada Goose	0.1773219	0.1932499	0.1876093	0.1972307	0.2019145	0.1880465	0.1760751	0.1985257	0.2072095	0.221746	0.2169095	0.2077049	0.2025341	0.2057702	0.2013203	0.1954236	0.1862044	0.1745531	0.156839	0.1333323	0.1069334	0.0968545	0.0973749	0.1045818	0.1207064	0.1253389	0.1386844	0.1372682	0.1357751	0.1377799	0.1268187	0.1328025	0.13308	0.1273412	0.1252831	0.1269777	0.128454	0.1304078	0.1366526	0.1391353	0.1479096	0.1421303	0.1539849	0.1575047	0.1750561	0.1692449	0.1593088	0.1662662	
Swan Goose (Domestic type) x Canada Goose (hybrid)	3.89E-5	5.18E-5	6.86E-5	3.79E-5	3.88E-5	4.98E-5	3.68E-5	3.64E-5	1.158E-4	1.96E-5	3.81E-5	3.91E-5	5.37E-5	7.13E-5	6.49E-5	1.28E-5	3.26E-5	1.66E-5	2.24E-5	3.17E-5	2.32E-5	2.59E-5	0.0	4.53E-5	2.86E-5	2.92E-5	3.03E-5	2.25E-5	3.03E-5	0.0	6.02E-5	2.04E-5	0.0	2.43E-5	6.86E-5	1.68E-5	6.54E-5	0.0	0.0	5.58E-5	4.82E-5	0.0	5.08E-5	9.45E-5	5.48E-5	2.55E-5	2.23E-5	5.72E-5	
Greater White-fronted x Canada Goose (hybrid)	2.59E-5	0.0	0.0	5.06E-5	0.0	3.32E-5	0.0	1.82E-5	1.93E-5	0.0	1.9E-5	0.0	3.58E-5	0.0	0.0	1.28E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.27E-5	0.0	0.0	0.0	0.0	0.0	0.0	3.01E-5	2.04E-5	0.0	0.0	0.0	3.35E-5	0.0	0.0	0.0	0.0	0.0	2.39E-5	5.08E-5	1.89E-5	2.74E-5	0.0	0.0	0.0	
Graylag x Canada Goose (hybrid)	1.3E-5	3.45E-5	1.72E-5	1.26E-5	1.94E-5	0.0	1.23E-5	0.0	0.0	0.0	0.0015	1.3E-5	1.79E-5	0.0	0.0	2.56E-5	0.0	0.0	2.24E-5	1.58E-5	0.0	0.0	0.0	0.0	2.86E-5	0.0	0.0	1.127E-4	9.1E-5	2.98E-5	9.04E-5	1.018E-4	9.62E-5	9.72E-5	6.86E-5	1.68E-5	0.0	0.0	2.39E-5	5.58E-5	4.82E-5	4.78E-5	5.08E-5	1.134E-4	8.22E-5	2.55E-5	2.23E-5	2.86E-5	
Graylag Goose (Domestic type) x Canada Goose (hybrid)	1.297E-4	5.18E-5	1.201E-4	3.79E-5	7.77E-5	6.64E-5	1.35E-4	7.28E-5	3.86E-5	5.87E-5	5.71E-5	5.21E-5	3.58E-5	7.13E-5	3.24E-5	7.67E-5	3.26E-5	8.3E-5	6.72E-5	6.33E-5	4.64E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.01E-5	4.07E-5	4.81E-5	2.43E-5	4.57E-5	3.35E-5	0.0	0.0	4.78E-5	1.86E-5	9.65E-5	7.17E-5	7.62E-5	3.78E-5	5.48E-5	2.55E-5	6.69E-5	8.58E-5	
Domestic goose sp. (Domestic type) x Canada Goose (hybrid)	5.187E-4	3.971E-4	4.631E-4	3.92E-4	3.107E-4	2.655E-4	4.294E-4	5.096E-4	5.213E-4	4.892E-4	3.428E-4	3.516E-4	3.221E-4	4.633E-4	3.244E-4	3.325E-4	2.285E-4	2.988E-4	1.567E-4	3.325E-4	1.623E-4	2.852E-4	1.612E-4	4.308E-4	2.286E-4	1.458E-4	3.03E-4	3.831E-4	3.335E-4	4.472E-4	1.506E-4	5.499E-4	3.367E-4	3.401E-4	4.346E-4	3.687E-4	4.362E-4	2.525E-4	3.346E-4	5.765E-4	5.549E-4	3.105E-4	3.556E-4	5.104E-4	4.656E-4	5.097E-4	3.567E-4	5.292E-4	
Barnacle x Canada Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	1.43E-5	
Cackling/Canada Goose	4.668E-4	4.143E-4	4.631E-4	3.161E-4	4.466E-4	4.812E-4	5.398E-4	4.55E-4	3.282E-4	3.914E-4	2.856E-4	3.647E-4	4.116E-4	3.029E-4	3.406E-4	1.919E-4	1.469E-4	2.158E-4	1.791E-4	1.267E-4	2.32E-5	0.0	2.69E-5	4.53E-5	2.86E-5	5.83E-5	3.03E-5	0.0	9.1E-5	0.0	6.02E-5	8.15E-5	9.62E-5	7.29E-5	2.059E-4	3.017E-4	2.617E-4	4.59E-4	5.259E-4	5.579E-4	6.272E-4	6.45E-4	6.857E-4	7.183E-4	7.394E-4	2.548E-4	4.459E-4	4.863E-4	
Branta sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.96E-5	0.0	0.0	0.0	3.56E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	2.3E-5	0.0	1.86E-5	0.0	2.39E-5	0.0	0.0	0.0	0.0	0.0	1.43E-5	
goose sp.	4.279E-4	0.0010703	9.434E-4	7.967E-4	6.213E-4	7.799E-4	7.607E-4	6.553E-4	5.02E-4	7.632E-4	4.761E-4	5.079E-4	3.4E-4	5.702E-4	2.595E-4	3.709E-4	2.938E-4	4.149E-4	2.686E-4	3.167E-4	3.941E-4	1.815E-4	1.612E-4	2.721E-4	2.0E-4	5.83E-5	2.121E-4	1.578E-4	1.819E-4	4.472E-4	3.615E-4	2.444E-4	4.088E-4	4.13E-4	4.804E-4	4.358E-4	7.415E-4	6.656E-4	8.605E-4	7.066E-4	9.409E-4	9.316E-4	8.889E-4	0.0010208	0.0012872	8.92E-4	6.912E-4	7.581E-4	
Mute Swan	0.0102186	0.0086319	0.0087304	0.0092185	0.0094754	0.0086615	0.0074719	0.0093193	0.0099627	0.0088847	0.0091022	0.0083874	0.0059953	0.0075914	0.0058878	0.0063824	0.0067411	0.0056597	0.0060443	0.0053358	0.0042653	0.0046418	0.0048365	0.0046476	0.0079156	0.0066766	0.0060904	0.0079328	0.0081562	0.0078416	0.0078622	0.007637	0.0072624	0.006559	0.006016	0.0059165	0.0061065	0.0064722	0.0067406	0.0068805	0.0084437	0.0066407	0.0065271	0.0085822	0.0092019	0.00762	0.0076477	0.0084249	
Trumpeter Swan	9.856E-4	3.28E-4	7.89E-4	6.955E-4	4.272E-4	3.816E-4	3.067E-4	4.368E-4	3.862E-4	3.131E-4	3.047E-4	1.172E-4	1.074E-4	3.56E-5	6.49E-5	6.4E-5	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0015	3.03E-5	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0015	0.0	0.0	0.0	1.86E-5	9.65E-5	1.672E-4	7.62E-5	2.268E-4	4.382E-4	5.352E-4	4.013E-4	0.0018166	
Tundra Swan	0.0174287	0.017678	0.0170149	0.0187785	0.0138247	0.0138384	0.0104533	0.0074991	0.0057151	0.0053817	0.0025897	0.0022271	8.948E-4	8.732E-4	5.028E-4	7.035E-4	2.775E-4	3.983E-4	4.253E-4	3.008E-4	3.941E-4	7.78E-5	0.0	6.8E-5	5.72E-5	0.0	9.09E-5	2.25E-5	9.1E-5	8.94E-5	9.04E-5	1.222E-4	1.924E-4	3.644E-4	3.431E-4	1.844E-4	1.963E-4	2.295E-4	2.629E-4	0.0015993	0.0046802	0.0103433	0.0154417	0.0154631	0.0191707	0.0166926	0.0178595	0.0166209	
Trumpeter/Tundra Swan	1.3E-5	0.0	3.43E-5	1.26E-5	9.71E-5	3.32E-5	0.0	3.64E-5	1.93E-5	1.96E-5	1.333E-4	1.3E-5	0.0	1.78E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.78E-5	0.0	0.0	5.48E-5	7.65E-5	2.23E-5	1.43E-5	
Whooper Swan	0.0	1.73E-5	0.0	0.0	0.0	0.0	0.0	1.82E-5	0.0015	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.23E-5	0.0	
swan sp.	2.075E-4	1.899E-4	1.887E-4	2.276E-4	1.553E-4	2.157E-4	1.718E-4	7.28E-5	9.65E-5	1.37E-4	7.62E-5	1.042E-4	3.58E-5	3.742E-4	2.109E-4	1.407E-4	3.26E-5	4.98E-5	1.791E-4	1.742E-4	1.854E-4	5.19E-5	1.075E-4	9.07E-5	1.143E-4	5.83E-5	1.212E-4	6.76E-5	1.516E-4	2.087E-4	6.02E-5	8.15E-5	7.21E-5	1.458E-4	4.57E-5	2.179E-4	8.72E-5	1.836E-4	4.78E-5	1.488E-4	3.136E-4	1.194E-4	5.08E-5	2.457E-4	3.56E-4	2.294E-4	1.561E-4	2.003E-4	
Egyptian Goose	0.0095962	0.007596	0.0067236	0.005956	0.0063881	0.0052931	0.0050794	0.0060066	0.0069121	0.0063211	0.0059983	0.0051314	0.0053152	0.0055065	0.0046389	0.0049627	0.0057781	0.0058588	0.0045668	0.0063017	0.004868	0.0049789	0.0039767	0.0051237	0.006001	0.0039651	0.0035754	0.0041692	0.0055486	0.0053967	0.0049402	0.005071	0.0047855	0.0042998	0.0039573	0.0039052	0.0056049	0.0047968	0.0061669	0.0045002	0.0059106	0.0047297	0.0062732	0.0067864	0.0072849	0.0083081	0.0063322	0.006737	
Common Shelduck	0.0	0.0	0.0	0.0	1.94E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Muscovy Duck (Domestic type)	0.0088181	0.007924	0.0075812	0.0063354	0.0067959	0.0053097	0.0057542	0.0062978	0.0063329	0.005734	0.0046844	0.0044281	0.0036151	0.0037422	0.0042334	0.0037604	0.0034603	0.0034024	0.0030445	0.0031983	0.0030367	0.002645	0.0027407	0.0027885	0.0032005	0.0033529	0.0033936	0.0030424	0.0033353	0.0038463	0.0038256	0.0034417	0.0034148	0.003984	0.0042089	0.0040058	0.0046889	0.0043377	0.0055694	0.0052813	0.006176	0.0058763	0.0060446	0.0071078	0.0085447	0.0071612	0.0069119	0.0080387	
Wood Duck	0.0212542	0.0199396	0.0199993	0.0217375	0.0221933	0.0214379	0.0212134	0.0270659	0.0315873	0.0324468	0.0318766	0.0301894	0.0314978	0.0324863	0.0308501	0.0308375	0.0301146	0.0298418	0.0297739	0.0238766	0.0220218	0.0220678	0.0200177	0.0179328	0.0186889	0.0200006	0.0197558	0.0215221	0.0238622	0.0244491	0.0255445	0.0257011	0.0254665	0.0256043	0.0251847	0.0231128	0.0225721	0.0220789	0.0213453	0.0211251	0.0231599	0.022287	0.0242292	0.0231758	0.026127	0.0236754	0.0223634	0.0200538	
Mandarin Duck	0.0015302	0.0016228	0.001012	0.0011887	0.0012815	7.799E-4	0.0010674	6.189E-4	0.0010619	9.198E-4	4.57E-4	5.34E-4	5.369E-4	4.277E-4	3.406E-4	6.139E-4	4.57E-4	3.319E-4	4.477E-4	2.533E-4	2.55E-4	1.556E-4	4.03E-4	3.174E-4	5.43E-4	0.0011954	8.484E-4	7.437E-4	9.399E-4	0.0010436	6.928E-4	7.332E-4	6.012E-4	4.858E-4	4.346E-4	5.531E-4	5.234E-4	6.197E-4	8.366E-4	6.509E-4	0.001158	8.122E-4	0.0014223	0.0013611	0.0012324	0.0016565	0.0010033	0.0011872	
Baikal Teal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.294E-4	6.69E-5	1.43E-5	
Garganey	7.003E-4	8.977E-4	4.631E-4	2.529E-4	2.136E-4	4.148E-4	2.454E-4	8.737E-4	0.0030506	0.0022701	9.902E-4	7.81E-5	0.0015	5.35E-5	0.0	0.0	0.0	0.0	0.0	0.0	2.32E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.194E-4	0.0	9.263E-4	0.001698	8.155E-4	4.905E-4	6.437E-4	
Blue-winged Teal	0.0257152	0.0262236	0.0259511	0.02304	0.0229506	0.0211559	0.0162812	0.0250455	0.0300813	0.0262823	0.0235171	0.020695	0.0222632	0.0207427	0.0181824	0.0144403	0.0078347	0.004697	0.0044997	0.0047183	0.0043116	0.0057568	0.0052933	0.0056904	0.0050009	0.0041692	0.0033633	0.0026142	0.0028501	0.0030114	0.0038256	0.0061096	0.0091381	0.0121462	0.0127639	0.0153694	0.0198896	0.0243052	0.0231619	0.0214784	0.024149	0.0253685	0.0237466	0.0237807	0.0244016	0.0231148	0.0192196	0.0212124	
Cinnamon Teal	0.0549187	0.0567113	0.0607012	0.0634927	0.071706	0.0686611	0.0592847	0.0861121	0.0936227	0.0919783	0.0878416	0.0809955	0.0752188	0.0732233	0.0665012	0.0565845	0.0479875	0.0412109	0.0381016	0.0348649	0.0334732	0.0345409	0.0352796	0.0351629	0.0330628	0.0332663	0.0343605	0.0366664	0.0361117	0.0381645	0.042534	0.0471458	0.0512216	0.0485607	0.0459547	0.0447506	0.0408261	0.045925	0.0427144	0.0436262	0.049263	0.0530062	0.0537156	0.0549338	0.055513	0.0517088	0.0436343	0.0488185	
Blue-winged x Cinnamon Teal (hybrid)	1.426E-4	6.91E-5	5.15E-5	6.32E-5	9.71E-5	1.161E-4	6.13E-5	9.1E-5	1.352E-4	1.174E-4	1.333E-4	1.302E-4	1.074E-4	1.604E-4	1.622E-4	5.12E-5	0.0	0.0015	4.48E-5	3.17E-5	2.32E-5	2.59E-5	2.69E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.72E-5	0.0	7.17E-5	7.62E-5	1.89E-5	5.48E-5	5.1E-5	8.92E-5	2.86E-5	
Blue-winged/Cinnamon Teal	6.225E-4	4.834E-4	3.945E-4	3.288E-4	4.854E-4	6.471E-4	3.681E-4	5.461E-4	5.406E-4	5.871E-4	5.332E-4	3.907E-4	3.758E-4	4.633E-4	2.595E-4	1.663E-4	2.285E-4	9.96E-5	2.239E-4	1.425E-4	3.477E-4	1.556E-4	1.881E-4	2.947E-4	3.429E-4	6.414E-4	8.787E-4	0.001217	0.0011825	0.0019679	0.0025303	0.0036861	0.0032705	0.0033524	0.0024933	0.002799	0.0035548	0.0030984	0.0024142	0.0017108	0.0014716	0.0010033	9.651E-4	4.915E-4	3.013E-4	5.607E-4	5.797E-4	4.577E-4	
Northern Shoveler	0.1512695	0.1532499	0.154866	0.1447395	0.1415479	0.1219241	0.1008159	0.1260466	0.1224876	0.1151099	0.1044654	0.0905941	0.0823237	0.0740252	0.0649441	0.0488079	0.0340319	0.026456	0.0236624	0.02109	0.0172002	0.0181003	0.0145364	0.0124691	0.0102017	0.0101752	0.0090598	0.0103667	0.015039	0.0248964	0.0392204	0.0576136	0.07058	0.0733876	0.0754169	0.0836685	0.0823283	0.0957747	0.1000813	0.1090284	0.1212275	0.1287055	0.1376289	0.1434594	0.1522704	0.1453911	0.1344928	0.14092	
