









Frequency of observations in the selected location(s).:
Number of taxa: 	1055

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	77114.0	57925.0	58302.0	79080.0	51502.0	60267.0	81505.0	54940.0	51793.0	51099.0	52515.0	76782.0	55877.0	56116.0	61653.0	78184.0	61266.0	60251.0	44670.0	63158.0	43139.0	38563.0	37217.0	44109.0	34994.0	34299.0	33003.0	44373.0	32981.0	33539.0	33197.0	49103.0	41584.0	41165.0	43717.0	59664.0	45853.0	43571.0	41836.0	53775.0	41451.0	41863.0	39374.0	52900.0	36514.0	39239.0	44850.0	69912.0	

Black-bellied Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.28E-5	0.0	0.0	6.72E-5	1.108E-4	0.0	0.0	0.0	0.0	3.143E-4	0.0	0.0	0.0	1.516E-4	2.98E-5	0.0	0.0	0.0	2.43E-5	2.29E-5	3.35E-5	4.36E-5	4.59E-5	2.39E-5	1.488E-4	9.65E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Fulvous Whistling-Duck	1.3E-5	0.0015	0.0	0.0	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	1.79E-5	8.732E-4	2.271E-4	1.407E-4	3.26E-5	8.3E-5	0.0	1.58E-5	0.0	0.0015	2.69E-5	2.27E-5	0.0	0.0014578	0.0010908	4.51E-5	0.0	0.0	3.01E-5	0.0	0.0	0.0	0.0	1.68E-5	0.0	0.0015	0.0015	5.58E-5	1.447E-4	0.0	0.0	0.0	2.74E-5	2.55E-5	4.46E-5	8.58E-5	
Emperor Goose	5.19E-5	5.18E-5	0.0015	0.00196	4.078E-4	3.484E-4	2.086E-4	1.638E-4	1.738E-4	0.0010959	8.188E-4	1.954E-4	0.0015	1.78E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.68E-5	1.09E-4	6.89E-5	2.39E-5	0.0015	0.0015	0.0	0.0	5.67E-5	0.0	0.0	0.0	0.0015	
Snow Goose	0.0348186	0.0374795	0.0387465	0.0396813	0.0333191	0.0280087	0.022379	0.024372	0.0208909	0.0184739	0.0150624	0.0113959	0.0079818	0.0069677	0.0060662	0.005065	0.0032318	0.0026058	0.0026864	0.0021217	0.0015068	0.0014781	9.673E-4	0.0011562	0.0010859	0.0011662	0.0012423	0.0011719	0.0010915	0.0012523	0.0017471	0.0017311	0.0022364	0.0019434	0.0021959	0.0018939	0.0036421	0.0047738	0.0089875	0.0145049	0.0205785	0.0303848	0.0361914	0.0371834	0.0397382	0.0362904	0.0318841	0.0336566	
Ross's Goose	0.0184662	0.0180233	0.0207025	0.0203465	0.0172615	0.0132577	0.0103184	0.0109574	0.0085919	0.008278	0.0062649	0.0043239	0.0034003	0.0031185	0.0030493	0.002865	0.0018118	0.0019585	0.0020148	0.0018525	0.001669	0.0013744	9.942E-4	9.068E-4	9.43E-4	9.33E-4	0.0012423	9.916E-4	9.399E-4	0.0010436	0.0012652	0.0015274	0.0015391	0.0021134	0.0018071	0.0015922	0.0018756	0.0019967	0.0026054	0.0051883	0.0099394	0.0143564	0.0198862	0.0197543	0.0213891	0.0203624	0.0167893	0.0187951	
Snow x Ross's Goose (hybrid)	2.205E-4	5.18E-5	1.029E-4	7.59E-5	2.33E-4	1.327E-4	4.91E-5	1.82E-5	3.86E-5	1.96E-5	1.523E-4	1.823E-4	1.79E-5	3.56E-5	3.24E-5	7.67E-5	6.53E-5	0.0	0.0	1.58E-5	2.32E-5	0.0	0.0	0.0015	2.86E-5	0.0	0.0	0.0	3.03E-5	0.0	0.0	2.04E-5	4.81E-5	0.0	0.0	1.68E-5	2.18E-5	6.89E-5	7.17E-5	3.72E-5	1.206E-4	4.78E-5	1.27E-4	1.89E-4	2.191E-4	7.65E-5	8.92E-5	4.29E-5	
Snow/Ross's Goose	0.0026714	0.0032801	0.0034133	0.0035534	0.0035533	0.0030697	0.0026011	0.0029487	0.0022011	0.0018004	0.0014662	0.0011331	6.801E-4	5.346E-4	4.542E-4	4.221E-4	1.795E-4	9.96E-5	1.791E-4	7.92E-5	4.64E-5	5.19E-5	2.69E-5	6.8E-5	5.72E-5	0.0	9.09E-5	2.25E-5	1.213E-4	2.98E-5	3.01E-5	2.04E-5	2.4E-5	4.86E-5	1.601E-4	6.7E-5	2.617E-4	4.361E-4	3.824E-4	7.81E-4	0.001737	0.0026037	0.0030477	0.0041399	0.0038889	0.0035679	0.0027871	0.0035473	
Graylag Goose (Domestic type)	0.0074435	0.0061804	0.0059689	0.0050455	0.0053202	0.0044137	0.0042942	0.0042046	0.0046145	0.0043445	0.0043607	0.0036206	0.0029171	0.003368	0.0033251	0.0034662	0.002987	0.0030041	0.0030222	0.0028817	0.0023413	0.0029303	0.0030094	0.0025618	0.0029434	0.0025948	0.0035148	0.0030424	0.0033959	0.0031307	0.0034943	0.0038287	0.0034148	0.0039111	0.0044605	0.0034024	0.0041873	0.0043148	0.0047806	0.0055044	0.0052351	0.0045386	0.0051557	0.005293	0.0060799	0.0051225	0.0051282	0.0053496	
Swan Goose (Domestic type)	0.0040849	0.0032974	0.0033103	0.0026176	0.0027572	0.0024723	0.0024293	0.0020932	0.0025293	0.0021135	0.001828	0.0014847	0.0011633	0.0015325	0.0014111	0.0018418	0.0013384	0.001444	0.0020372	0.0013775	0.0014604	0.0012188	0.0015316	0.0012923	0.0015145	0.0015452	0.0019695	0.0014874	0.0017889	0.0018486	0.0022894	0.002118	0.0017314	0.0021377	0.0023789	0.0019275	0.0024862	0.002364	0.0023664	0.0033101	0.0030397	0.0025798	0.0022096	0.0028922	0.0033686	0.0027269	0.0032776	0.0027892	
Graylag x Swan Goose (Domestic type) (hybrid)	5.19E-5	5.18E-5	6.86E-5	2.53E-5	9.71E-5	8.3E-5	8.59E-5	7.28E-5	3.86E-5	1.96E-5	3.81E-5	0.0	0.0	1.78E-5	1.298E-4	5.12E-5	6.53E-5	1.66E-5	2.24E-5	1.58E-5	0.0	0.0	0.0	0.0	0.0	0.0	3.03E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.18E-5	6.89E-5	0.0	0.0	2.41E-5	7.17E-5	0.0	3.78E-5	8.22E-5	2.55E-5	2.23E-5	1.144E-4	
Greater White-fronted Goose	0.0379309	0.0395339	0.0430002	0.0455741	0.0373384	0.0335839	0.0292865	0.0332363	0.0284981	0.0276718	0.0223746	0.0206038	0.0175564	0.0188894	0.0200801	0.0113195	0.0053537	0.0038506	0.0036714	0.0032617	0.0017154	0.0022301	0.0018271	0.0019724	0.0022575	0.0030613	0.0025452	0.0026142	0.0023044	0.0025344	0.0027111	0.0027086	0.0032464	0.0051986	0.0088295	0.0248056	0.0329531	0.0306855	0.0293766	0.029047	0.0296012	0.0303609	0.0376644	0.0388469	0.0402038	0.0371569	0.0305017	0.0348724	
Snow x Greater White-fronted Goose (hybrid)	0.0	1.73E-5	0.0	0.0	0.0	0.0	1.23E-5	0.0	0.0	0.0	0.0	1.3E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater/Lesser White-fronted Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.89E-5	0.0	0.0	0.0	0.0	
Tundra Bean-Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Taiga/Tundra Bean-Goose	6.48E-5	1.036E-4	0.0	1.26E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.45E-4	3.302E-4	1.701E-4	5.48E-5	1.019E-4	8.92E-5	5.72E-5	
