Row #,Species,Count,Location,S/P,Date,LocID,SubID
239,Brown-headed Cowbird,1,Webberville Park (Big)(HOTE 035),US-TX,22 Feb 2020,L1119372,S64873546
240,Brewer's Blackbird,20,American Canyon Wetlands,US-CA,08 Feb 2020,L650670,S64256906
241,Common Grackle,1,Webberville Park (Big)(HOTE 035),US-TX,22 Feb 2020,L1119372,S64873546
242,Great-tailed Grackle,12,Rockport Beach Park,US-TX,25 Jan 2020,L338888,S63766209
243,Prothonotary Warbler,3,Abita Creek Flatwoods Preserve,US-LA,22 Apr 2020,L884459,S67653975
244,Orange-crowned Warbler,1,Aransas NWR--Wildlife Tower (Calhoun Co.),US-TX,24 Jan 2020,L1021344,S63747877
245,Nashville Warbler,1,Estero Llano Grande SP WBC (LTC 054),US-TX,01 Feb 2020,L259855,S64013058
246,Common Yellowthroat,1,"Univ. of Texas, RGV (Brownsville)--Resaca Habitat",US-TX,31 Jan 2020,L278450,S63990217
247,Hooded Warbler,1,Abita Springs--Abita Trace,US-LA,02 Apr 2020,L685494,S66552887
248,Northern Parula,2,"64 Natchez Trace Parkway, Natchez, Mississippi, US (31.615, -91.257)",US-MS,15 Mar 2020,L11206657,S67542810
249,Pine Warbler,2,Lake Livingston SP,US-TX,20 Jan 2020,L457594,S63591104
250,Yellow-rumped Warbler,2,Aransas NWR--Wildlife Tower (Calhoun Co.),US-TX,24 Jan 2020,L1021344,S63747877
251,Yellow-throated Warbler,1,Port Hudson SHS,US-LA,18 Mar 2020,L727361,S65944730
252,Townsend's Warbler,1,Bodega Bay--Diekman's Store area,US-CA,10 Feb 2020,L744554,S64325259
253,Wilson's Warbler,1,South Padre Is.--WBC/Conv. Center/Laguna Madre Trail (LTC 035),US-TX,29 Jan 2020,L283726,S63954736
254,Summer Tanager,1,Estero Llano Grande SP--Tropical Zone,US-TX,01 Feb 2020,L1148441,S64017157
255,Scarlet Tanager,1,Northlake Nature Center,US-LA,30 Apr 2020,L727350,S68136979
256,Northern Cardinal,4,Rockport Demo Bird Garden & Wetlands Pond (CTC 050),US-TX,25 Jan 2020,L453211,S63760008
257,Rose-breasted Grosbeak,1,Northlake Nature Center,US-LA,30 Apr 2020,L727350,S68136979
258,Indigo Bunting,1,Hugh Ramsey Park (Harlingen Arroyo Colorado) WBC (LTC 026),US-TX,01 Feb 2020,L273764,S64001060
